id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,clave_partido
11416,1978-06-18,Argentina,Brazil,0,0,FIFA World Cup,Rosario,Argentina,False,1978-06-18_Argentina_Brazil
11417,1978-06-18,Austria,Italy,0,1,FIFA World Cup,Buenos Aires,Argentina,True,1978-06-18_Austria_Italy
11418,1978-06-18,Germany,Netherlands,2,2,FIFA World Cup,Córdoba,Argentina,True,1978-06-18_Germany_Netherlands
11420,1978-06-18,Peru,Poland,0,1,FIFA World Cup,Mendoza,Argentina,True,1978-06-18_Peru_Poland
11421,1978-06-21,Argentina,Peru,6,0,FIFA World Cup,Rosario,Argentina,False,1978-06-21_Argentina_Peru
11422,1978-06-21,Austria,Germany,3,2,FIFA World Cup,Córdoba,Argentina,True,1978-06-21_Austria_Germany
11423,1978-06-21,Brazil,Poland,3,1,FIFA World Cup,Mendoza,Argentina,True,1978-06-21_Brazil_Poland
11425,1978-06-21,Italy,Netherlands,1,2,FIFA World Cup,Buenos Aires,Argentina,True,1978-06-21_Italy_Netherlands
11429,1978-06-24,Brazil,Italy,2,1,FIFA World Cup,Buenos Aires,Argentina,True,1978-06-24_Brazil_Italy
11430,1978-06-25,Argentina,Netherlands,3,1,FIFA World Cup,Buenos Aires,Argentina,False,1978-06-25_Argentina_Netherlands
13297,1982-06-13,Argentina,Belgium,0,1,FIFA World Cup,Barcelona,Spain,True,1982-06-13_Argentina_Belgium
13300,1982-06-14,Brazil,Russia,2,1,FIFA World Cup,Seville,Spain,True,1982-06-14_Brazil_Russia
13301,1982-06-14,Italy,Poland,0,0,FIFA World Cup,Vigo,Spain,True,1982-06-14_Italy_Poland
13302,1982-06-15,Hungary,El Salvador,10,1,FIFA World Cup,Elche,Spain,True,1982-06-15_Hungary_El Salvador
13304,1982-06-15,Peru,Cameroon,0,0,FIFA World Cup,A Coruña,Spain,True,1982-06-15_Peru_Cameroon
13305,1982-06-15,Scotland,New Zealand,5,2,FIFA World Cup,Málaga,Spain,True,1982-06-15_Scotland_New Zealand
13306,1982-06-16,England,France,3,1,FIFA World Cup,Bilbao,Spain,True,1982-06-16_England_France
13307,1982-06-16,Germany,Algeria,1,2,FIFA World Cup,Gijón,Spain,True,1982-06-16_Germany_Algeria
13308,1982-06-16,Spain,Honduras,1,1,FIFA World Cup,Valencia,Spain,False,1982-06-16_Spain_Honduras
13309,1982-06-17,Chile,Austria,0,1,FIFA World Cup,Oviedo,Spain,True,1982-06-17_Chile_Austria
13310,1982-06-17,Czechoslovakia,Kuwait,1,1,FIFA World Cup,Valladolid,Spain,True,1982-06-17_Czechoslovakia_Kuwait
13311,1982-06-17,Yugoslavia,Northern Ireland,0,0,FIFA World Cup,Zaragoza,Spain,True,1982-06-17_Yugoslavia_Northern Ireland
13312,1982-06-18,Argentina,Hungary,4,1,FIFA World Cup,Alicante,Spain,True,1982-06-18_Argentina_Hungary
13313,1982-06-18,Brazil,Scotland,4,1,FIFA World Cup,Seville,Spain,True,1982-06-18_Brazil_Scotland
13314,1982-06-18,Italy,Peru,1,1,FIFA World Cup,Vigo,Spain,True,1982-06-18_Italy_Peru
13315,1982-06-19,Belgium,El Salvador,1,0,FIFA World Cup,Elche,Spain,True,1982-06-19_Belgium_El Salvador
13316,1982-06-19,Poland,Cameroon,0,0,FIFA World Cup,A Coruña,Spain,True,1982-06-19_Poland_Cameroon
13317,1982-06-19,Russia,New Zealand,3,0,FIFA World Cup,Málaga,Spain,True,1982-06-19_Russia_New Zealand
13318,1982-06-20,England,Czechoslovakia,2,0,FIFA World Cup,Bilbao,Spain,True,1982-06-20_England_Czechoslovakia
13319,1982-06-20,Germany,Chile,4,1,FIFA World Cup,Gijón,Spain,True,1982-06-20_Germany_Chile
13320,1982-06-20,Spain,Yugoslavia,2,1,FIFA World Cup,Valencia,Spain,False,1982-06-20_Spain_Yugoslavia
13321,1982-06-21,Algeria,Austria,0,2,FIFA World Cup,Oviedo,Spain,True,1982-06-21_Algeria_Austria
13322,1982-06-21,France,Kuwait,4,1,FIFA World Cup,Valladolid,Spain,True,1982-06-21_France_Kuwait
13323,1982-06-21,Honduras,Northern Ireland,1,1,FIFA World Cup,Zaragoza,Spain,True,1982-06-21_Honduras_Northern Ireland
13324,1982-06-22,Belgium,Hungary,1,1,FIFA World Cup,Elche,Spain,True,1982-06-22_Belgium_Hungary
13325,1982-06-22,Poland,Peru,5,1,FIFA World Cup,A Coruña,Spain,True,1982-06-22_Poland_Peru
13326,1982-06-22,Russia,Scotland,2,2,FIFA World Cup,Málaga,Spain,True,1982-06-22_Russia_Scotland
13328,1982-06-23,Argentina,El Salvador,2,0,FIFA World Cup,Alicante,Spain,True,1982-06-23_Argentina_El Salvador
13329,1982-06-23,Brazil,New Zealand,4,0,FIFA World Cup,Seville,Spain,True,1982-06-23_Brazil_New Zealand
13330,1982-06-23,Italy,Cameroon,1,1,FIFA World Cup,Vigo,Spain,True,1982-06-23_Italy_Cameroon
13331,1982-06-24,Algeria,Chile,3,2,FIFA World Cup,Oviedo,Spain,True,1982-06-24_Algeria_Chile
13332,1982-06-24,France,Czechoslovakia,1,1,FIFA World Cup,Valladolid,Spain,True,1982-06-24_France_Czechoslovakia
13333,1982-06-24,Honduras,Yugoslavia,0,1,FIFA World Cup,Zaragoza,Spain,True,1982-06-24_Honduras_Yugoslavia
13334,1982-06-25,England,Kuwait,1,0,FIFA World Cup,Bilbao,Spain,True,1982-06-25_England_Kuwait
13335,1982-06-25,Germany,Austria,1,0,FIFA World Cup,Gijón,Spain,True,1982-06-25_Germany_Austria
13336,1982-06-25,Spain,Northern Ireland,0,1,FIFA World Cup,Valencia,Spain,False,1982-06-25_Spain_Northern Ireland
13340,1982-06-28,Austria,France,0,1,FIFA World Cup,Madrid,Spain,True,1982-06-28_Austria_France
13341,1982-06-28,Poland,Belgium,3,0,FIFA World Cup,Barcelona,Spain,True,1982-06-28_Poland_Belgium
13342,1982-06-29,Germany,England,0,0,FIFA World Cup,Madrid,Spain,True,1982-06-29_Germany_England
13343,1982-06-29,Italy,Argentina,2,1,FIFA World Cup,Barcelona,Spain,True,1982-06-29_Italy_Argentina
13344,1982-07-01,Austria,Northern Ireland,2,2,FIFA World Cup,Madrid,Spain,True,1982-07-01_Austria_Northern Ireland
13345,1982-07-01,Belgium,Russia,0,1,FIFA World Cup,Barcelona,Spain,True,1982-07-01_Belgium_Russia
13346,1982-07-02,Argentina,Brazil,1,3,FIFA World Cup,Barcelona,Spain,True,1982-07-02_Argentina_Brazil
13347,1982-07-02,Spain,Germany,1,2,FIFA World Cup,Madrid,Spain,False,1982-07-02_Spain_Germany
13348,1982-07-04,France,Northern Ireland,4,1,FIFA World Cup,Madrid,Spain,True,1982-07-04_France_Northern Ireland
13349,1982-07-04,Poland,Russia,0,0,FIFA World Cup,Barcelona,Spain,True,1982-07-04_Poland_Russia
13350,1982-07-05,Italy,Brazil,3,2,FIFA World Cup,Barcelona,Spain,True,1982-07-05_Italy_Brazil
13351,1982-07-05,Spain,England,0,0,FIFA World Cup,Madrid,Spain,False,1982-07-05_Spain_England
13353,1982-07-08,Germany,France,3,3,FIFA World Cup,Seville,Spain,True,1982-07-08_Germany_France
13355,1982-07-08,Poland,Italy,0,2,FIFA World Cup,Barcelona,Spain,True,1982-07-08_Poland_Italy
13356,1982-07-10,Poland,France,3,2,FIFA World Cup,Alicante,Spain,True,1982-07-10_Poland_France
13358,1982-07-11,Italy,Germany,3,1,FIFA World Cup,Madrid,Spain,True,1982-07-11_Italy_Germany
15318,1986-05-31,Bulgaria,Italy,1,1,FIFA World Cup,Mexico City,Mexico,True,1986-05-31_Bulgaria_Italy
15320,1986-06-01,Canada,France,0,1,FIFA World Cup,León,Mexico,True,1986-06-01_Canada_France
15321,1986-06-01,Spain,Brazil,0,1,FIFA World Cup,Guadalajara,Mexico,True,1986-06-01_Spain_Brazil
15322,1986-06-02,Argentina,South Korea,3,1,FIFA World Cup,Mexico City,Mexico,True,1986-06-02_Argentina_South Korea
15323,1986-06-02,Morocco,Poland,0,0,FIFA World Cup,Monterrey,Mexico,True,1986-06-02_Morocco_Poland
15324,1986-06-02,Russia,Hungary,6,0,FIFA World Cup,Irapuato,Mexico,True,1986-06-02_Russia_Hungary
15325,1986-06-03,Algeria,Northern Ireland,1,1,FIFA World Cup,Guadalajara,Mexico,True,1986-06-03_Algeria_Northern Ireland
15327,1986-06-03,Mexico,Belgium,2,1,FIFA World Cup,Mexico City,Mexico,False,1986-06-03_Mexico_Belgium
15328,1986-06-03,Portugal,England,1,0,FIFA World Cup,Monterrey,Mexico,True,1986-06-03_Portugal_England
15330,1986-06-04,Paraguay,Iraq,1,0,FIFA World Cup,Toluca,Mexico,True,1986-06-04_Paraguay_Iraq
15332,1986-06-04,Scotland,Denmark,0,1,FIFA World Cup,Nezahualcóyotl,Mexico,True,1986-06-04_Scotland_Denmark
15333,1986-06-04,Uruguay,Germany,1,1,FIFA World Cup,Querétaro,Mexico,True,1986-06-04_Uruguay_Germany
15334,1986-06-05,France,Russia,1,1,FIFA World Cup,León,Mexico,True,1986-06-05_France_Russia
15335,1986-06-05,Italy,Argentina,1,1,FIFA World Cup,Puebla,Mexico,True,1986-06-05_Italy_Argentina
15336,1986-06-05,South Korea,Bulgaria,1,1,FIFA World Cup,Mexico City,Mexico,True,1986-06-05_South Korea_Bulgaria
15337,1986-06-06,Brazil,Algeria,1,0,FIFA World Cup,Guadalajara,Mexico,True,1986-06-06_Brazil_Algeria
15338,1986-06-06,England,Morocco,0,0,FIFA World Cup,Monterrey,Mexico,True,1986-06-06_England_Morocco
15339,1986-06-06,Hungary,Canada,2,0,FIFA World Cup,Irapuato,Mexico,True,1986-06-06_Hungary_Canada
15341,1986-06-07,Mexico,Paraguay,1,1,FIFA World Cup,Mexico City,Mexico,False,1986-06-07_Mexico_Paraguay
15343,1986-06-07,Northern Ireland,Spain,1,2,FIFA World Cup,Guadalajara,Mexico,True,1986-06-07_Northern Ireland_Spain
15344,1986-06-07,Poland,Portugal,1,0,FIFA World Cup,Monterrey,Mexico,True,1986-06-07_Poland_Portugal
15345,1986-06-08,Denmark,Uruguay,6,1,FIFA World Cup,Nezahualcóyotl,Mexico,True,1986-06-08_Denmark_Uruguay
15346,1986-06-08,Germany,Scotland,2,1,FIFA World Cup,Querétaro,Mexico,True,1986-06-08_Germany_Scotland
15347,1986-06-08,Iraq,Belgium,1,2,FIFA World Cup,Toluca,Mexico,True,1986-06-08_Iraq_Belgium
15348,1986-06-09,Hungary,France,0,3,FIFA World Cup,León,Mexico,True,1986-06-09_Hungary_France
15349,1986-06-09,Russia,Canada,2,0,FIFA World Cup,Irapuato,Mexico,True,1986-06-09_Russia_Canada
15350,1986-06-10,Argentina,Bulgaria,2,0,FIFA World Cup,Mexico City,Mexico,True,1986-06-10_Argentina_Bulgaria
15351,1986-06-10,South Korea,Italy,2,3,FIFA World Cup,Puebla,Mexico,True,1986-06-10_South Korea_Italy
15352,1986-06-11,England,Poland,3,0,FIFA World Cup,Monterrey,Mexico,True,1986-06-11_England_Poland
15354,1986-06-11,Mexico,Iraq,1,0,FIFA World Cup,Mexico City,Mexico,False,1986-06-11_Mexico_Iraq
15355,1986-06-11,Paraguay,Belgium,2,2,FIFA World Cup,Toluca,Mexico,True,1986-06-11_Paraguay_Belgium
15356,1986-06-11,Portugal,Morocco,1,3,FIFA World Cup,Guadalajara,Mexico,True,1986-06-11_Portugal_Morocco
15357,1986-06-12,Algeria,Spain,0,3,FIFA World Cup,Monterrey,Mexico,True,1986-06-12_Algeria_Spain
15358,1986-06-12,Northern Ireland,Brazil,0,3,FIFA World Cup,Guadalajara,Mexico,True,1986-06-12_Northern Ireland_Brazil
15359,1986-06-13,Denmark,Germany,2,0,FIFA World Cup,Querétaro,Mexico,True,1986-06-13_Denmark_Germany
15361,1986-06-13,Scotland,Uruguay,0,0,FIFA World Cup,Nezahualcóyotl,Mexico,True,1986-06-13_Scotland_Uruguay
15362,1986-06-15,Mexico,Bulgaria,2,0,FIFA World Cup,Mexico City,Mexico,False,1986-06-15_Mexico_Bulgaria
15363,1986-06-15,Russia,Belgium,3,4,FIFA World Cup,León,Mexico,True,1986-06-15_Russia_Belgium
15364,1986-06-16,Argentina,Uruguay,1,0,FIFA World Cup,Puebla,Mexico,True,1986-06-16_Argentina_Uruguay
15365,1986-06-16,Brazil,Poland,4,0,FIFA World Cup,Guadalajara,Mexico,True,1986-06-16_Brazil_Poland
15366,1986-06-17,Italy,France,0,2,FIFA World Cup,Mexico City,Mexico,True,1986-06-17_Italy_France
15367,1986-06-17,Morocco,Germany,0,1,FIFA World Cup,Monterrey,Mexico,True,1986-06-17_Morocco_Germany
15368,1986-06-18,Denmark,Spain,1,5,FIFA World Cup,Querétaro,Mexico,True,1986-06-18_Denmark_Spain
15369,1986-06-18,England,Paraguay,3,0,FIFA World Cup,Mexico City,Mexico,True,1986-06-18_England_Paraguay
15370,1986-06-21,Brazil,France,1,1,FIFA World Cup,Guadalajara,Mexico,True,1986-06-21_Brazil_France
15372,1986-06-21,Mexico,Germany,0,0,FIFA World Cup,Monterrey,Mexico,False,1986-06-21_Mexico_Germany
15373,1986-06-22,Argentina,England,2,1,FIFA World Cup,Mexico City,Mexico,True,1986-06-22_Argentina_England
15375,1986-06-22,Spain,Belgium,1,1,FIFA World Cup,Puebla,Mexico,True,1986-06-22_Spain_Belgium
15376,1986-06-25,Argentina,Belgium,2,0,FIFA World Cup,Mexico City,Mexico,True,1986-06-25_Argentina_Belgium
15377,1986-06-25,France,Germany,0,2,FIFA World Cup,Guadalajara,Mexico,True,1986-06-25_France_Germany
15378,1986-06-28,France,Belgium,4,2,FIFA World Cup,Puebla,Mexico,True,1986-06-28_France_Belgium
15379,1986-06-29,Argentina,Germany,3,2,FIFA World Cup,Mexico City,Mexico,True,1986-06-29_Argentina_Germany
17323,1990-06-08,Argentina,Cameroon,0,1,FIFA World Cup,Milan,Italy,True,1990-06-08_Argentina_Cameroon
17324,1990-06-09,Italy,Austria,1,0,FIFA World Cup,Rome,Italy,False,1990-06-09_Italy_Austria
17325,1990-06-09,Russia,Romania,0,2,FIFA World Cup,Bari,Italy,True,1990-06-09_Russia_Romania
17326,1990-06-09,United Arab Emirates,Colombia,0,2,FIFA World Cup,Bologna,Italy,True,1990-06-09_United Arab Emirates_Colombia
17328,1990-06-10,Brazil,Sweden,2,1,FIFA World Cup,Turin,Italy,True,1990-06-10_Brazil_Sweden
